species,genus,family,species.relative,genus.relative
Tylototriton andersoni,Tylototriton,,,
Tylototriton asperrimus,Tylototriton,,,
Leptobrachium chapaense,Leptobrachium,,,
Bufo galeatus,Bufo,,,
Bufo melanostictus,Bufo,,,
Nectophryne sculptus,Nectophryne,,,
Hyla annectans,Hyla,,,
Ooeidozyga laevis,Ooeidozyga,,,
Ooeidozyga lima,Ooeidozyga,,,
Rana adenopleura,Rana,,,
Rana andersonii,Rana,,,
Rana cancrivora,Rana,,,
Rana fragilis,Rana,,,
Rana guentheri,Rana,,,
Rana limnocharis,Rana,,,
Rana livida,Rana
Rana macrodactyla,Rana
Rana spinulosa,Rana
Rana taipehensis,Rana
Rana tigrina,Rana
Rana varians,Rana
Rana versabilis,Rana
Staurois hainanensis,Staurois
Staurois torrentis,Staurois
Philautus albopunctatus,Philautus
Philautus ocellatus,Philautus
Philautus vittatus,Philautus
Rhacophorus cavirostris,Rhacophorus
Rhacophorus leucomystax,Rhacophorus
Rhacophorus mutus,Rhacophorus
Rhacophorus oxycephalus,Rhacophorus
Rhacophorus rhodopus,Rhacophorus
Kalophrynus pleurostigma,Kalophrynus
Kaloula pulchra,Kaloula
Microhyla butleri,Microhyla
Microhyla heymonsi,Microhyla
Microhyla ornata,Microhyla
Microhyla pulchra,Microhyla
